Dates,X,Y
13/5/15 21:30,-122.4493891,37.7426688
13/5/15 21:17,-122.4202721,37.74733163
13/5/15 21:11,-122.4122498,37.78255633
13/5/15 21:11,-122.4122498,37.78255633
13/5/15 21:10,-122.4360492,37.79984122
13/5/15 21:00,-122.4105093,37.78604322
13/5/15 21:00,-122.4310176,37.78738807
13/5/15 21:00,-122.4236563,37.73255649
13/5/15 21:00,-122.4757735,37.74491907
13/5/15 20:56,-122.4997871,37.7485176
13/5/15 20:54,-122.4310464,37.78302957
13/5/15 20:50,-122.4351501,37.76175972
13/5/15 20:45,-122.4327438,37.78384245
13/5/15 20:30,-122.4313095,37.78587063
13/5/15 20:30,-122.4313095,37.78587063
13/5/15 20:30,-122.3918456,37.77812478
13/5/15 20:30,-122.4318307,37.7956417
13/5/15 20:30,-122.4305518,37.78932277
13/5/15 20:29,-122.473182,37.72156474
13/5/15 20:25,-122.4324465,37.71083265
13/5/15 20:23,-122.4052948,37.78630722
13/5/15 20:15,-122.4221276,37.77303302
13/5/15 20:15,-122.4063518,37.78603116
13/5/15 20:06,-122.3994437,37.73017602
13/5/15 20:06,-122.3994437,37.73017602
13/5/15 20:00,-122.415212,37.78887145
13/5/15 20:00,-122.4237023,37.73523279
13/5/15 20:00,-122.4717998,37.7656867
13/5/15 19:55,-122.4085974,37.78922421
13/5/15 19:52,-122.4477611,37.76984649
13/5/15 19:33,-122.3986956,37.7547456
13/5/15 19:33,-122.3986956,37.7547456
13/5/15 19:30,-122.4032848,37.78730642
13/5/15 19:30,-122.3976156,37.77739182
13/5/15 19:30,-122.4203472,37.77176907
13/5/15 19:30,-122.3998021,37.78800653
13/5/15 19:30,-122.4213958,37.78568434
13/5/15 19:30,-122.4112792,37.77157858
13/5/15 19:30,-122.4279912,37.78495312
13/5/15 19:28,-122.4007198,37.79071247
13/5/15 19:28,-122.4007198,37.79071247
13/5/15 19:26,-122.412929,37.78968683
13/5/15 19:26,-122.412929,37.78968683
13/5/15 19:19,-122.3950978,37.79405905
13/5/15 19:15,-122.4116366,37.77178694
13/5/15 19:15,-122.4748992,37.72699053
13/5/15 19:11,-122.4162359,37.78491257
13/5/15 19:11,-122.4162359,37.78491257
13/5/15 19:11,-122.4162359,37.78491257
